"trss","e 1/2 sec23 t23n r.16 w"
"trss","n1/2 sec.20 t6s r.34w"
"trss","s 1/2 sec.15 t11n range6 e"
"trss","s1/2 section22 t3 n range17w"
"trss","sw 1/4 sec.22 t3 n range17 e"
"trss","se1/4 sec20 t6 s range34 w"
"trss","n1/2 section22 t3 n range17e"
"trss","se1/4 sec20 t33n r.16 e"
"trss","ne 1/4 sec20 t33s r.16 e"
"trss","se 1/4 sec10 t3s r9w"
"trss","n1/2 sec.10 t3s r9w"
"trss","se 1/4 sec23 t8s range7e"
"trss","sw 1/4 sec18 t10s range23e"
"trss","e1/2 sec4 t21s r.26 w"
"trss","w 1/2 section23 t8n r.7 w"
"trss","w1/2 sec.18 t10 s r23 e"
"trss","se1/4 sec33 t31s r1 w"
"trss","ne 1/4 sec.20 t6s r.34w"
"trss","se1/4 section36 t3 n range15 e"
"trss","w 1/2 section14 t18 n r.6e"
"trss","se1/4 section33 t31 s range1e"
"trss","nw1/4 sec10 t3 s range9w"
"trss","w 1/2 section20 t33 s r16w"
"trss","se1/4 sec.11 t35 n r.36 w"
"trss","sw 1/4 sec6 t24n r.15w"
"trss","w 1/2 sec11 t35 n range36 w"
"trss","sw1/4 sec.18 t10 n r23e"
"trss","se1/4 sec.23 t23 s range16 w"
"trss","s1/2 sec.6 t24s range15 w"
"trss","w 1/2 sec15 t11n range6 w"
"trss","se 1/4 section14 t18s range6 w"
"trss","w 1/2 sec17 t13 s r15e"
"trss","w1/2 sec.20 t6 n r.34w"
"trss","ne1/4 sec24 t19 n r15 w"
"trss","e1/2 sec.20 t33n range16 w"
"trss","n 1/2 section23 t23 s r.16w"
"trss","nw1/4 sec.14 t18 n range6 w"
"trss","e 1/2 sec.17 t13 s r.15e"
"trss","ne 1/4 sec11 t35 n r.36 e"
"trss","e1/2 sec.4 t21 s range26w"
"trss","ne 1/4 section33 t31s r1e"
"trss","ne1/4 sec15 t26 s range12w"
"trss","s 1/2 section36 t3 n range15 w"
"trss","s1/2 sec.33 t10 s r29 w"
"trss","ne1/4 sec.4 t21 n r26e"
"trss","n 1/2 sec.25 t19 s range19 w"
